1,18,09,15,21:00,England,Fiji,"Twickenham, London"
2,19,09,15,13:00,Tonga,Georgia,"Kingsholm Stadium, Gloucester"
3,19,09,15,15:30,Ireland,Canada,"Millennium Stadium, Cardiff"
4,19,09,15,17:45,South Africa,Japan,"Brighton Community Centre, Brighton"
5,19,09,15,21:00,France,Italy,"Twickenham, London"
6,20,09,15,13:00,Samoa,USA,"Brighton Community Centre, Brighton"
7,20,09,15,15:30,Wales,Uruguay,"Millennium Stadium, Cardiff"
8,20,09,15,17:45,New Zealand,Argentina,"Wembley Stadium, London"
9,23,09,15,15:30,Scotland,Japan,"Kingsholm Stadium, Gloucester"
10,23,09,15,17:45,Australia,Fiji,"Millennium Stadium, Cardiff"
11,23,09,15,21:00,France,Romania,"Olympic Stadium, London"
12,24,09,15,21:00,New Zealand,Namibia,"Olympic Stadium, London"
13,25,09,15,17:45,Argentina,Georgia,"Kingsholm Stadium, Gloucester"
14,26,09,15,15:30,Italy,Canada,"Elland Road, Leeds"
15,26,09,15,17:45,South Africa,Samoa,"Villa Park, Birmingham"
16,26,09,15,21:00,England,Wales,"Twickenham, London"
17,27,09,15,13:00,Australia,Uruguay,"Villa Park, Birmingham"
18,27,09,15,15:30,Scotland,USA,"Elland Road, Leeds"
19,27,09,15,17:45,Ireland,Romania,"Wembley Stadium, London"
20,29,09,15,17:45,Tonga,Namibia,"Sandy Park, Exeter"
21,1,10,15,17:45,Wales,Fiji,"Millennium Stadium, Cardiff"
22,1,10,15,21:00,France,Canada,"Stadium MK, Milton Keynes"
23,2,10,15,21:00,New Zealand,Georgia,"Millennium Stadium, Cardiff"
24,3,10,15,15:30,Samoa,Japan,"Stadium MK, Milton Keynes"
25,3,10,15,17:45,South Africa,Scotland,"St James' Park, Newcastle"
26,3,10,15,21:00,England,Australia,"Twickenham, London"
27,4,10,15,15:30,Argentina,Tonga,"Leicester City Stadium, Leicester"
28,4,10,15,17:45,Ireland,Italy,"Olympic Stadium, London"
29,6,10,15,17:45,Canada,Romania,"Leicester City Stadium, Leicester"
30,6,10,15,21:00,Fiji,Uruguay,"Stadium MK, Milton Keynes"
31,7,10,15,17:45,South Africa,USA,"Olympic Stadium, London"
32,7,10,15,21:00,Namibia,Georgia,"Sandy Park, Exeter"
33,9,10,15,21:00,New Zealand,Tonga,"St James' Park, Newcastle"
34,10,10,15,15:30,Samoa,Scotland,"St James' Park, Newcastle"
35,10,10,15,17:45,Australia,Wales,"Twickenham, London"
36,10,10,15,21:00,England,Uruguay,Manchester City Stadium
37,11,10,15,13:00,Argentina,Namibia,"Leicester City Stadium, Leicester"
38,11,10,15,15:30,Italy,Romania,"Sandy Park, Exeter"
39,11,10,15,17:45,France,Ireland,"Millennium Stadium, Cardiff"
40,11,10,15,21:00,USA,Japan,"Kingsholm Stadium, Gloucester"
41,17,10,15,17:00,B1,A2,"Twickenham, London"
42,17,10,15,21:00,C1,D2,"Millennium Stadium, Cardiff"
43,18,10,15,14:00,D1,C2,"Millennium Stadium, Cardiff"
44,18,10,15,17:00,A1,B2,"Twickenham, London"
45,24,10,15,17:00,Winner QF1,Winner QF2,"Twickenham, London"
46,25,10,15,18:00,Winner QF3,Winner QF4,"Twickenham, London"
47,30,10,15,22:00,Loser SF1,Loser SF2,"Olympic Stadium, London"
48,31,10,15,18:00,Winner SF1,Winner SF2,"Twickenham, London"
